ID,Reaction Name,KB,Guevara
cpd00001[c0],"H2O_c0,",30,52.486
cpd00003[c0],"NAD_c0,",0.0003,0.0003
cpd00002[c0],"ATP_c0,",30.027,50.864
cpd00006[c0],"NADP_c0,",0.00013,0.00013
cpd00004[c0],"NADH_c0,",0.00015,0.00015
cpd00005[c0],"NADPH_c0,",0.0001,0.0001
cpd00010[c0],"CoA_c0,",0.000136,0.000136
cpd00062[c0],"UTP_c0,",0.027,0.095373121
cpd00015[c0],"FAD_c0,",0.0001,0.0001
cpd00050[c0],"FMN_c0,",0.0001,0.0001
cpd00016[c0],Pyridoxal phosphate_c0,0.0001,0.0001
cpd00017[c0],"S-Adenosyl-L-methionine_c0,",0.000543,0.000543
cpd00060[c0],"L-Methionine_c0,",0.049,0.038393076
cpd00130[c0],"L-Malate_c0,",0.037,0.037
cpd00023[c0],"L-Glutamate_c0,",0.13,0.113680655
cpd00053[c0],"L-Glutamine_c0,",0.071,"0,059905153"
cpd00035[c0],"L-Alanine_c0,",0.161,0.125715444
cpd00038[c0],"GTP_c0,",0.026,0.026
cpd00032[c0],"Oxaloacetate_c0,",0.0757,0.0757
cpd00137[c0],"Citrate_c0,",0.013,0.013
cpd00041[c0],"L-Aspartate_c0,",0.098,0.098
cpd00052[c0],"CTP_c0,",0.026,0.026
cpd00132[c0],"L-Asparagine_c0,",0.056,0.056
cpd00054[c0],"L-Serine_c0,",0.1,0.1
cpd00056[c0],"TPP_c0,",0.0001,0.0001
cpd00033[c0],"Glycine_c0,",0.15,0.15
cpd00066[c0],"L-Phenylalanine_c0,",0.074,0.074
cpd00159[c0],"L-Lactate_c0,",0.039,0.039
cpd00069[c0],"L-Tyrosine_c0,",0.049,0.049
cpd00161[c0],"L-Threonine_c0,",0.096,0.096
cpd00080[c0],"Glycerol-3-phosphate_c0,",0.13,0.13
cpd00087[c0],"Tetrahydrofolate_c0,",0.0001,0.0001
cpd00201[c0],"10-Formyltetrahydrofolate_c0,",0.0001,0.0001
cpd00125[c0],"5-10-Methylenetetrahydrofolate_c0,",0.0001,0.0001
cpd00345[c0],"5-Methyltetrahydrofolate_c0,",0.0001,0.0001
cpd00115[c0],"dATP_c0,",0.03,0.028880831
cpd00347[c0],"5-10-Methenyltetrahydrofolate_c0,",0.0001,0.0001
cpd00129[c0],"L-Proline_c0,",0.096,0.096
cpd00331[c0],"cis-Aconitate_c0,",0.086,0.086
cpd00163[c0],"UDP-xylose_c0,",0.766,0.766
cpd00604[c0],"4-Coumarate_c0,",0.55,0.55
cpd00241[c0],"dGTP_c0,",0.026,"0,015417221"
cpd00357[c0],"TTP_c0,",0.03,0.03
cpd01059[c0],"Ferulate_c0,",0.076,0.076
cpd02197[c0],"5-Formyltetrahydrofolate_c0,",0.0001,0.0001
cpd00356[c0],"dCTP_c0,",0.026,"0,015417221"
cpd00834[c0],"Phosphopantetheine_c0,",0.001,0.001
cpd00084[c0],"L-Cysteine_c0,",0.029,0.029
cpd00205[c0],"K+_c0,",0.307,0.307
cpd00065[c0],"L-Tryptophan_c0,",0.024,0.024
cpd00156[c0],"L-Valine_c0,",0.127,0.127
cpd00051[c0],"L-Arginine_c0,",0.11,0.11
cpd00099[c0],"Cl-_c0,",0.21,0.21
cpd00214[c0],"Palmitate_c0,",0.329,0.329
cpd00119[c0],"L-Histidine_c0,",0.038,0.038
cpd00322[c0],"L-Isoleucine_c0,",0.083,0.083
cpd00107[c0],"L-Leucine_c0,",0.172,0.172
cpd00039[c0],"L-Lysine_c0,",0.096,0.096
cpd01080[c0],"ocdca_c0,",0.011,0.011
cpd19001[c0],"alpha-D-Glucose_c0,",1.59,1.59
cpd30321[c0],"beta-D-Fructose_c0,",0.2271,0.2271
cpd16443[c0],"beta-D-Ribofuranose_c0,",0.0377,0.0377
cpd00104[c0],"BIOT_c0,",0.0001,0.0001
cpd12844[d0],"Phytonadiol_d0,",0.000975,0.000975
cpd00536[c0],"Oleate_c0,",0.015,0.015
cpd25914[c0],"ubiquinol(9)_c0,",0.0001,0.0001
cpd16503[c0],"Plastoquinol-9_c0,",0.000155,0.000155
cpd00009[c0],"Phosphate_c0,",30,30
cpd00012[c0],"PPi_c0,",0.218,0.218
cpd00067[c0],"H+_c0,",30,30
cpd00008[c0],"ADP_c0,",30,30
cpd00014[c0],"UDP_c0,",0.766,0.766
cpd11416[c0],"Biomass_c0,",NaN,NaN
