ID,Reaction Name_x,KB_x,Guevara,Metabolito,Botero 2018,Guevara 2023,PstKB_Ori,PstKB_cobra,NaN,KB_y,Reaction Name_y,Molecule,NaN.1
cpd00001[c0],H2O,30,52.486,H2O,-,52.48687847,30.0,52.48687847,1.0,-30.0,"H2O_c0,","H2O,",0.0
cpd00003[c0],NAD,0.0003,0.0003,NAD,-,-,-0.0003,Not included in this version,41.0,-0.0003,"NAD_c0,","C21H26N7O14P2,",-1.0
cpd00002[c0],ATP,30.027,50.864,ATP,1,50.8640296,-30.027,50.8640296,46.0,-30027.0,"ATP_c0,","C10H13N5O13P3,",-3.0
cpd00006[c0],NADP,0.00013,0.00013,NADP,,,0.00013,Not included in this version,47.0,-0.00013,"NADP_c0,","C21H25N7O17P3,",-3.0
cpd00004[c0],NADH,0.00015,0.00015,NADH,,,0.00015,Not included in this version,52.0,-0.00015,"NADH_c0,","C21H27N7O14P2,",-2.0
cpd00005[c0],NADPH,0.0001,0.0001,NADPH,,,0.0001,Not included in this version,53.0,-0.0001,"NADPH_c0,","C21H26N7O17P3,",-4.0
cpd00010[c0],CoA,0.000136,0.000136,CoA,,,0.000136,Not included in this version,75.0,-0.000136,"CoA_c0,","C21H32N7O16P3S,",-4.0
cpd00062[c0],UTP,0.027,0.095373121,UTP,0.0028,0.095373121,0.027,0.095373121,88.0,-0.027,"UTP_c0,","C9H12N2O15P3,",-3.0
cpd00015[c0],FAD,0.0001,0.0001,FAD,,,0.0001,,98.0,-0.0001,"FAD_c0,","C27H31N9O15P2,",-2.0
cpd00050[c0],FMN,0.0001,0.0001,,,,,,99.0,-0.0001,"FMN_c0,","C17H19N4O9P,",-2.0
cpd00016[c0],Pyridoxalphosphate,0.0001,0.0001,Pyridoxal phosphate_c0,,,0.0001,,102.0,-0.0001,Pyridoxal phosphate_c0,"C8H8NO6P,",-2.0
cpd00017[c0],S-Adenosyl-L-methionine,0.000543,0.000543,S-Adenosyl-L-methionine,,,-0.000543,,106.0,-0.000543,"S-Adenosyl-L-methionine_c0,","C15H23N6O5S,",1.0
cpd00060[c0],L-Methionine,0.049,0.038393076,methionine,0.002,0.038393076,0.049,0.038393076,107.0,-0.049,"L-Methionine_c0,","C5H11NO2S,",0.0
cpd00130[c0],L-Malate,0.037,0.037,,,,,,140.0,-0.037,"L-Malate_c0,","C4H4O5,",-2.0
cpd00023[c0],L-Glutamate,0.13,0.113680655,,,,,,149.0,-0.13,"L-Glutamate_c0,","C5H8NO4,",-1.0
cpd00053[c0],L-Glutamine,0.071,"0,059905153",glutamine,0.35,0.059905153,0.071,0.059905153,153.0,-0.071,"L-Glutamine_c0,","C5H10N2O3,",0.0
